Comentarios;Comentarios_Limpios;Polaridad;Sentimiento
"elespectador
CONTENIDO SENSIBLE 🛑 En el centro de Bogotá funciona Cambie, la primera sala de consumo supervisado de drogas inyectables, especialmente heroína, de Colombia y Suramérica.

Es una estrategia de reducción de riesgos y daños que busca prevenir sobredosis, minimizar contagios de enfermedades virales, como VIH y hepatitis, y disminuir el consumo y desechos de jeringas en el espacio público.

Además, pueden canalizar a las personas que quieren dejar de consumir a procesos de desintoxicación y rehabilitación.

📸 @nicolasachury
Editado · 1 sem";"elespectador
contenido sensible 🛑 en el centro de bogotá funciona cambie, la primera sala de consumo supervisado de drogas inyectables, especialmente heroína, de colombia y suramérica.

es una estrategia de reducción de riesgos y daños que busca prevenir sobredosis, minimizar contagios de enfermedades virales, como vih y hepatitis, y disminuir el consumo y desechos de jeringas en el espacio público.

además, pueden canalizar a las personas que quieren dejar de consumir a procesos de desintoxicación y rehabilitación.

📸 @nicolasachury
editado · 1 sem";0;Neutral
"_julx22
Excelente. Una manera increíble de terapia, prevención y ayuda verdadera
1 sem632 Me gustaResponder";"_julx22
excelente. una manera increíble de terapia, prevención y ayuda verdadera
1 sem632 ";0;Neutral
"san.batero
Y todo esto de los impuestos de todos los ciudadanos 😢
1 sem125 Me gustaResponder";"san.batero
y todo esto de los impuestos de todos los ciudadanos 😢
1 sem125 ";0;Neutral
"peddiazgo
Esto mismo ha sido implementado en suiza con excelentes resultados para la sociedad 👏
1 sem83 Me gustaResponder";"peddiazgo
esto mismo ha sido implementado en suiza con excelentes resultados para la sociedad 👏
1 sem83 ";0;Neutral
"lizth_here
Excelente, es mejor que lo hagan en una zona lejos de los niños y otros adolescentes y esos residuos sean bien recogidos y no dejados por ahí. Excelente iniciativa, ojalá que la gente aprenda lo bueno que es esto para la comunidad
1 sem473 Me gustaResponder";"lizth_here
excelente, es mejor que lo hagan en una zona lejos de los niños y otros adolescentes y esos residuos sean bien recogidos y no dejados por ahí. excelente iniciativa, ojalá que la gente aprenda lo bueno que es esto para la comunidad
1 sem473 ";0;Neutral
"katheg82
Qué bueno que a la par, cuando la persona se acerque, reciba atención psicólogica y se anime a ingresar a rehabilitación 😳
1 sem282 Me gustaResponder";"katheg82
qué bueno que a la par, cuando la persona se acerque, reciba atención psicólogica y se anime a ingresar a rehabilitación 😳
1 sem282 ";0;Neutral
"lordsagalex
Si mal no recuerdo cuando petro fue alcalde ya hubo una iniciativa asi ahhjjj pero como es galan ahi siiiiii
1 sem153 Me gustaResponder";"lordsagalex
si mal no recuerdo cuando petro fue alcalde ya hubo una iniciativa asi ahhjjj pero como es galan ahi siiiiii
1 sem153 ";0;Neutral
"alejandrasanabriar_
No es la primera sala en la alcaldía de Petro se hizo algo similar
1 sem39 Me gustaResponder";"alejandrasanabriar_
no es la primera sala en la alcaldía de petro se hizo algo similar
1 sem39 ";0;Neutral
"cm_sofip
Ya era hora, felicitaciones a Colombia
1 sem55 Me gustaResponder";"cm_sofip
ya era hora, felicitaciones a colombia
1 sem55 ";0;Neutral
"lasangrededrago
❤️❤️❤️ eso es pensar en la salud pública.
1 sem10 Me gustaResponder";"lasangrededrago
❤️❤️❤️ eso es pensar en la salud pública.
1 sem10 ";0;Neutral
"kaarasaba
Sin palabras 😶
1 sem8 Me gustaResponder";"kaarasaba
sin palabras 😶
1 sem8 ";0;Neutral
"dpolorobin
Igual que en USA nada nuevo
1 sem5 Me gustaResponder";"dpolorobin
igual que en usa nada nuevo
1 sem5 ";0;Neutral
"mateo.pizaaa
Excelente, consumo responsable, informado, supervisado, limitando la afectación a la esfera social y personal.
1 sem7 Me gustaResponder";"mateo.pizaaa
excelente, consumo responsable, informado, supervisado, limitando la afectación a la esfera social y personal.
1 sem7 ";0,016666667;Positivo
"manurada24
Petro asiste todos los días para su dosis diaria :p
1 sem64 Me gustaResponder";"manurada24
petro asiste todos los días para su dosis diaria :p
1 sem64 ";0,75;Positivo
"eljuandafoodie
Me parece genial 👏
1 sem1 Me gustaResponder";"eljuandafoodie
me parece genial 👏
1 sem1 ";0;Neutral
"josedcastellanos
@giuliamonde mira!
1 sem2 Me gustaResponder";"josedcastellanos
@giuliamonde mira!
1 sem2 ";0;Neutral
"elespectador
Los consumidores de heroína, una de las sustancias psicoactivas más adictiva y peligrosa, están expuestos a contagiarse de enfermedades virales como VIH y hepatitis por el intercambio de jeringas, además de situaciones de violencia, insalubridad y estigmas.

El Espectador tuvo acceso a la primera sala de consumo supervisado de Suramérica, en el centro de Bogotá, que busca proteger la vida de los usuarios de drogas inyectables.

Lea todo el especial en el enlace de la biografía.
1 sem";"elespectador
los consumidores de heroína, una de las sustancias psicoactivas más adictiva y peligrosa, están expuestos a contagiarse de enfermedades virales como vih y hepatitis por el intercambio de jeringas, además de situaciones de violencia, insalubridad y estigmas.

el espectador tuvo acceso a la primera sala de consumo supervisado de suramérica, en el centro de bogotá, que busca proteger la vida de los usuarios de drogas inyectables.

lea todo el especial en el enlace de la biografía.
1 sem";0;Neutral
"castrojuanjose
Excelente iniciativa. Hay limitaditos que creen que metiendo los problemas debajo del tapete se solucionan. 👏
1 sem719 Me gustaResponder";"castrojuanjose
excelente iniciativa. hay limitaditos que creen que metiendo los problemas debajo del tapete se solucionan. 👏
1 sem719 ";0;Neutral
"dilialex
Amo este programa, me encanta, es importante duplicarlo
1 sem180 Me gustaResponder";"dilialex
amo este programa, me encanta, es importante duplicarlo
1 sem180 ";0;Neutral
"laretro.co
Un paso enorme como sociedad 👏🏼
1 sem138 Me gustaResponder";"laretro.co
un paso enorme como sociedad 👏🏼
1 sem138 ";0;Neutral
"sandriyam
Y yo peleando con la eps por la continuidad del tratamiento de alergias de mi hija, 😢 están dando beneficios a una minoría tenaz
1 sem152 Me gustaResponder";"sandriyam
y yo peleando con la eps por la continuidad del tratamiento de alergias de mi hija, 😢 están dando beneficios a una minoría tenaz
1 sem152 ";0;Neutral
